standardized_name,earliest_filing_year,ipc_class_subclass,short_title,cluster_level1,group,n_patents,frac_patents,n_uspto,frac_uspto,n_usep,frac_usep,n_triadic,frac_triadic,n_ip5,frac_ip5,n_green,frac_green,n_basic,n_applied,frac_basic,mean_distance_to_science,mean_scope,mean_family_size,mean_backward_cites,mean_npl_cites,mean_originality,mean_radicalness,mean_forward_cites_5yr,mean_generality,frac_top10pct_forward
SA¤D NAJI,2001,C02F,"Treatment Of Water, Waste Water, Sewage, Or Sludge",Chemistry,Physical Sciences and Engineering,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,0,,,0,0,0,,,0,,0
SA¤DI ABDELHAK,2001,A63B,Physical Training,Consumer,Consumer Products and Fabrication,1,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,1,2,,0,0,0,,,0,,0
SBM SCHIEDAM,2014,B63B,Ships Or Other Waterborne Vessels,Transportation,Machinery and Transportation,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SBM SCHIEDAM,2014,B65G,Transport Or Storage Devices,Transportation,Machinery and Transportation,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SCANDINAVIAN AGENCIES CORPORATION,1965,H02P,Control Or Regulation Of Electric Motors,Electronics,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SCANSOFT,2000,G10L,Speech Analysis Or Synthesis; Speech Recognition,Physics,Physical Sciences and Engineering,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,,0,0,0,,,0.0068359375,0.770070769390295,1
SCHLUMBERGER TECHNOLOGY,2001,E21B,"Earth Or Rock Drilling; Obtaining Oil, Or Meltable Materials From Wells",Constructions,Physical Sciences and Engineering,1,0.04,1,0.04,1,0.04,0,0,0,0,0,0,0.04,0,1,2,,0,0,0,0.365875109938435,0,0.0068359375,0.815449764710099,1
SCHLUMBERGER TECHNOLOGY,2001,H01R,Electrically-Conductive Connections,Electronics,Electronics and Telecommunication,1,0.04,1,0.04,1,0.04,0,0,0,0,0,0,0.04,0,1,2,,0,0,0,0.365875109938435,0,0.0068359375,0.815449764710099,1
SCHLUMBERGER TECHNOLOGY,2019,E21B,"Earth Or Rock Drilling; Obtaining Oil, Or Meltable Materials From Wells",Constructions,Physical Sciences and Engineering,1,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,,0,0,0,,,0,,0
SCHLUMBERGER TECHNOLOGY,2019,G01V,Geophysics; Gravitational Measurements,Information,Electronics and Telecommunication,1,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,,0,0,0,,,0,,0
SCHLUMBERGER TECHNOLOGY,2019,G06T,Image Data Processing Or Generation,Information,Electronics and Telecommunication,1,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,,0,0,0,,,0,,0
SCHROEMGES CYRIL R ,1993,A62B,Life-Saving,Healthcare,Biotechnology and Healthcare,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0.001953125,0.67745057375916,0
SCP ASCLEPIOS,2008,G06F,Electric Digital Data Processing,Information,Electronics and Telecommunication,1,0.166666666666667,1,0.166666666666667,1,0.166666666666667,0,0,0,0,0,0,0.166666666666667,0,1,2,,0,0,0,,,0.001953125,0.731646619659892,0
