standardized_name,earliest_filing_year,ipc_class_subclass,short_title,cluster_level1,group,n_patents,frac_patents,n_uspto,frac_uspto,n_usep,frac_usep,n_triadic,frac_triadic,n_ip5,frac_ip5,n_green,frac_green,n_basic,n_applied,frac_basic,mean_distance_to_science,mean_scope,mean_family_size,mean_backward_cites,mean_npl_cites,mean_originality,mean_radicalness,mean_forward_cites_5yr,mean_generality,frac_top10pct_forward
ADC TELECOMMUNICATIONS,2004,G02B,"Optical Elements, Systems, Or Apparatus",Physics,Physical Sciences and Engineering,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,0,0,0.0263157894736842,0,1,2,0.0909090909090909,0.733333333333333,0.0286561264822134,0.00726392251815981,0.72838046207061,0.857142857142857,0.0966183574879227,0.66940703474288,0
ADC TELECOMMUNICATIONS,2004,H01B,Cables; Conductors; Insulators,Electronics,Electronics and Telecommunication,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,0,0,0.0263157894736842,0,1,2,0.0909090909090909,0.733333333333333,0.0286561264822134,0.00726392251815981,0.72838046207061,0.857142857142857,0.0966183574879227,0.66940703474288,0
ADC TELECOMMUNICATIONS,2004,H01R,Electrically-Conductive Connections,Electronics,Electronics and Telecommunication,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,0,0,0.0263157894736842,0,1,2,0.0909090909090909,0.733333333333333,0.0286561264822134,0.00726392251815981,0.72838046207061,0.857142857142857,0.0966183574879227,0.66940703474288,0
ADC TELECOMMUNICATIONS,2004,H02G,Installation Of Electric Cables Or Lines,Electronics,Electronics and Telecommunication,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,0,0,0.0263157894736842,0,1,2,0.0909090909090909,0.733333333333333,0.0286561264822134,0.00726392251815981,0.72838046207061,0.857142857142857,0.0966183574879227,0.66940703474288,0
ADC TELECOMMUNICATIONS,2005,G02B,"Optical Elements, Systems, Or Apparatus",Physics,Physical Sciences and Engineering,2,0.208333333333333,2,0.208333333333333,2,0.208333333333333,2,0.208333333333333,0,0,0,0,0.208333333333333,0,1,1.4,,0.154166666666667,0.0385861561119293,0.00739030023094688,0.715974825520019,0.86,0.0107421875,0.78217890225356,1
ADC TELECOMMUNICATIONS,2005,H01R,Electrically-Conductive Connections,Electronics,Electronics and Telecommunication,5,0.65530303030303,5,0.65530303030303,4,0.321969696969697,4,0.321969696969697,2,0.113636363636364,0,0,0.564393939393939,0.0909090909090909,0.861271676300578,1.4393063583815,0.25,0.121679741260666,0.0526046901600613,0.0244656269897331,0.594576670677034,0.889261744966443,0.0228523151493256,0.735800748892747,0.352601156069364
ADC TELECOMMUNICATIONS,2005,H04Q,Selecting,Telecommunication,Electronics and Telecommunication,1,0.0227272727272727,1,0.0227272727272727,1,0.0227272727272727,1,0.0227272727272727,1,0.0227272727272727,0,0,0.0227272727272727,0,1,2,,0,0,0,0.747540334888457,0.866666666666667,0.0048828125,0.67745057375916,1
ADC TELECOMMUNICATIONS,2006,G02B,"Optical Elements, Systems, Or Apparatus",Physics,Physical Sciences and Engineering,2,0.129166666666667,2,0.129166666666667,2,0.129166666666667,2,0.129166666666667,1,0.0625,0,0,0.129166666666667,0,1,2,0.166666666666667,0.632258064516129,0.0738670945609473,0.00752365268494301,0.581000432386461,0.75639400921659,0.163870967741935,0.571982092775789,0
ADC TELECOMMUNICATIONS,2006,H01R,Electrically-Conductive Connections,Electronics,Electronics and Telecommunication,3,0.158578431372549,3,0.158578431372549,3,0.158578431372549,3,0.158578431372549,2,0.0919117647058824,0,0,0.158578431372549,0,1,2,0.166666666666667,0.51499227202473,0.0601668606392878,0.00612823023951308,0.603004119511459,0.786120004415986,0.134202086553323,0.627981316399936,0.185471406491499
ADEL BEN DJEMAA,2011,C03C,"Chemical Composition Of Glasses, Glazes, Or Vitreous Enamels",Chemistry,Physical Sciences and Engineering,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ADEL BEN DJEMAA,2014,A47G,Household Equipment,Consumer,Consumer Products and Fabrication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ADEL BEN LAKHDAR OUESLATI,2014,B01D,Separation,Physics,Physical Sciences and Engineering,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
